,Name,Duration,Wind speed,Pressure,Areas affected,Deaths,Damage,REf,Category
422,"""San Felipe IIOkeechobee""","September 13–14, 1928",160 mph (260 km/h),929 hPa (27.43 inHg),"Lesser Antilles, The BahamasUnited States East Coast, Atlantic Canada",4000,$100 million,[14],5
423,"""Bahamas""","September 5–6, 1932",160 mph (260 km/h),921 hPa (27.20 inHg),"The Bahamas, Northeastern United States",16,,[15],5
424,"""Camagüey""","November 5–8, 1932",175 mph (280 km/h),915 hPa (27.02 inHg),"Lesser Antilles, Jamaica, Cayman IslandsCuba, The Bahamas, Bermuda",3103,$40 million,[16],5
425,"""Cuba–Brownsville""",30-Aug-33,160 mph (260 km/h),930 hPa (27.46 inHg),"The Bahamas, Cuba, FloridaTexas, Tamaulipas",179,$$27.9 million,[17],5
426,"""Tampico""",21-Sep-33,160 mph (260 km/h),929 hPa (27.43 inHg),"Jamaica, Yucatán Peninsula",184,$5 million,[18],5
427,"""Labor Day""",3-Sep-35,185 mph (295 km/h),892 hPa (26.34 inHg),"The Bahamas, Florida, GeorgiaThe Carolinas, Virginia",408,,[19],5
428,"""New England""","September 19–20, 1938",160 mph (260 km/h),940 hPa (27.76 inHg),"Eastern United States, Southwestern Quebec",682,$306 million,[20],5
429,Carol,3-Sep-53,160 mph (260 km/h),929 hPa (27.43 inHg),"Bermuda, New England, Atlantic Canada",5,$2 million,[21],5
430,Janet,"September 27–28, 1955",175 mph (280 km/h),914 hPa (26.99 inHg),"Lesser Antilles, Central America",1023,$65.8 million,[22],5
431,Esther,17-Sep-61,160 mph (260 km/h),919 hPa (27.14 inHg),East Coast of the United States,7,$6 million,[23],5
432,Hattie,31-Oct-61,165 mph (270 km/h),914 hPa (26.99 inHg),Central America,319,$60.3 million,[24][25],5
433,Inez,"September 28–29, 1966",165 mph (270 km/h),927 hPa (27.37 inHg),"Greater Antilles, Florida, Mexico",756,$229 million,[26],5
434,Beulah,20-Sep-67,160 mph (260 km/h),921 hPa (27.20 inHg),"The Caribbean, Mexico, Texas",59,$208 million,[27],5
435,Camille,"August 16–18, 1969 †",175 mph (280 km/h),900 hPa (26.58 inHg),"Cuba, United States Gulf Coast",259,$1.42 billion,[28],5
436,Edith,9-Sep-71,160 mph (260 km/h),943 hPa (27.85 inHg),"The Caribbean, Central AmericaMexico, United States Gulf Coast",37,$25.4 million,[29],5
437,Anita,2-Sep-77,175 mph (280 km/h),926 hPa (27.34 inHg),Mexico,11,Extensive,[30],5
438,David,"August 30–31, 1979",175 mph (280 km/h),924 hPa (27.29 inHg),"The Caribbean, United States East coast",2068,$1.54 billion,[31][32],5
439,Allen,"August 5–9, 1980 †",190 mph (305 km/h),899 hPa (26.55 inHg),"The Caribbean, Yucatán PeninsulaMexico, South Texas",269,$1.24 billion,[31][33][34],5
440,Gilbert,"September 13–14, 1988",185 mph (295 km/h),888 hPa (26.22 inHg),"Jamaica, Venezuela, Central AmericaHispaniola, Mexico",318,$7.1 billion,[35][36],5
441,Hugo,15-Sep-89,160 mph (260 km/h),918 hPa (27.11 inHg),"The Caribbean, United States East Coast",107,$10 billion,[28][37][38],5
442,Andrew,"August 23–24, 1992 †",175 mph (280 km/h),922 hPa (27.23 inHg),"The Bahamas, Florida, United States Gulf Coast",65,$26.5 billion,[28][39],5
443,Mitch,"October 26–28, 1998",180 mph (285 km/h),905 hPa (26.72 inHg),"Central America, Yucatán Peninsula, South Florida",19325,$6.2 billion,[40][41][42][43],5
444,Isabel,"September 11–14, 2003 †",165 mph (270 km/h),915 hPa (27.02 inHg),"Greater Antilles, BahamasEastern United States, Ontario",51,$5.37 billion,[28][44],5
445,Ivan,"September 9–14, 2004 †",165 mph (270 km/h),910 hPa (26.87 inHg),"The Caribbean, Venezuela, United States Gulf Coast",124,$23.3 billion,[28][45],5
446,Emily,16-Jul-05,160 mph (260 km/h),929 hPa (27.43 inHg),"Windward Islands, Jamaica, Mexico, Texas",17,$1.01 billion,[46],5
447,Katrina,"August 28–29, 2005",175 mph (280 km/h),902 hPa (26.64 inHg),"Bahamas, United States Gulf Coast",1836,$125 billion,[47],5
448,Rita,"September 21–22, 2005",180 mph (285 km/h),895 hPa (26.43 inHg),"Cuba, United States Gulf Coast",125,$12 billion,[48],5
449,Wilma,19-Oct-05,185 mph (295 km/h),882 hPa (26.05 inHg),"Greater Antilles, Central America, Florida",87,$29.4 billion,[49][50][51][52],5
450,Dean,"August 18–21, 2007 †",175 mph (280 km/h),905 hPa (26.72 inHg),"The Caribbean, Central America",45,$1.76 billion,[31][53][54],5
451,Felix,"September 3–4, 2007 †",175 mph (280 km/h),929 hPa (27.43 inHg),"Nicaragua, Honduras",133,$720 million,[55][56][57][58],5
452,Matthew,1-Oct-16,165 mph (270 km/h),934 hPa (27.58 inHg),"Antilles, Venezuela, ColombiaUnited States East Coast, Atlantic Canada",603,$15.1 billion,[59],5
